suite,family,adapter,instance,instance_group,planner,heuristic,variant,config,seed,repetition,timeout_s,memory_limit_mb,outcome,solved,valid,wall_time_s,cost,plan_length,makespan,sum_of_costs,expanded,generated,evaluated,peak_rss_mb,error,note,timestamp_utc,harness_version,harness_sha,python_version,platform,cpu_model,cpu_count,hostname,package_versions,schema_version
ci-weekly,classical,jupyddl,blocksworld/problem,blocksworld,bfs,,,,0,0,15.0,2048,solved,True,True,0.000869276000003083,2,2,,,2,5,0,21.36,,,2026-09-07T10:29:42+00:00,0.1.0,3a24e980be60,3.12.14,Linux 6.17.0-1022-azure (x86_64),INTEL(R) XEON(R) PLATINUM 8573C,4,runnervmejwal,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.4.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.3"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,blocksworld/problem,blocksworld,gbfs,hff,,,0,0,15.0,2048,solved,True,True,0.0009574880000116082,2,2,,,2,5,5,21.36,,,2026-09-07T10:29:42+00:00,0.1.0,3a24e980be60,3.12.14,Linux 6.17.0-1022-azure (x86_64),INTEL(R) XEON(R) PLATINUM 8573C,4,runnervmejwal,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.4.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.3"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,blocksworld/problem,blocksworld,astar,lmcut,,,0,0,15.0,2048,solved,True,True,0.0012758230000144977,2,2,,,2,5,5,21.36,,,2026-09-07T10:29:42+00:00,0.1.0,3a24e980be60,3.12.14,Linux 6.17.0-1022-azure (x86_64),INTEL(R) XEON(R) PLATINUM 8573C,4,runnervmejwal,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.4.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.3"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,blocksworld/problem,blocksworld,astar,hmax,,,0,0,15.0,2048,solved,True,True,0.0009989099999927475,2,2,,,2,5,5,21.36,,,2026-09-07T10:29:42+00:00,0.1.0,3a24e980be60,3.12.14,Linux 6.17.0-1022-azure (x86_64),INTEL(R) XEON(R) PLATINUM 8573C,4,runnervmejwal,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.4.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.3"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,pallet/problem,pallet,bfs,,,,0,0,15.0,2048,solved,True,True,0.002093021000007411,12,12,,,124,298,0,21.36,,,2026-09-07T10:29:42+00:00,0.1.0,3a24e980be60,3.12.14,Linux 6.17.0-1022-azure (x86_64),INTEL(R) XEON(R) PLATINUM 8573C,4,runnervmejwal,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.4.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.3"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,pallet/problem,pallet,gbfs,hff,,,0,0,15.0,2048,solved,True,True,0.001820103999989442,12,12,,,12,33,25,21.36,,,2026-09-07T10:29:42+00:00,0.1.0,3a24e980be60,3.12.14,Linux 6.17.0-1022-azure (x86_64),INTEL(R) XEON(R) PLATINUM 8573C,4,runnervmejwal,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.4.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.3"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,pallet/problem,pallet,astar,lmcut,,,0,0,15.0,2048,solved,True,True,0.032616919999981064,12,12,,,127,304,128,21.36,,,2026-09-07T10:29:42+00:00,0.1.0,3a24e980be60,3.12.14,Linux 6.17.0-1022-azure (x86_64),INTEL(R) XEON(R) PLATINUM 8573C,4,runnervmejwal,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.4.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.3"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,pallet/problem,pallet,astar,hmax,,,0,0,15.0,2048,solved,True,True,0.004645474000000149,12,12,,,127,304,128,21.36,,,2026-09-07T10:29:42+00:00,0.1.0,3a24e980be60,3.12.14,Linux 6.17.0-1022-azure (x86_64),INTEL(R) XEON(R) PLATINUM 8573C,4,runnervmejwal,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.4.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.3"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,switch/problem,switch,bfs,,,,0,0,15.0,2048,solved,True,True,0.0026407330000211005,3,3,,,4,7,0,21.36,,,2026-09-07T10:29:42+00:00,0.1.0,3a24e980be60,3.12.14,Linux 6.17.0-1022-azure (x86_64),INTEL(R) XEON(R) PLATINUM 8573C,4,runnervmejwal,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.4.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.3"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,switch/problem,switch,gbfs,hff,,,0,0,15.0,2048,solved,True,True,0.002921627999995735,3,3,,,3,6,5,21.36,,,2026-09-07T10:29:43+00:00,0.1.0,3a24e980be60,3.12.14,Linux 6.17.0-1022-azure (x86_64),INTEL(R) XEON(R) PLATINUM 8573C,4,runnervmejwal,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.4.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.3"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
