suite,family,adapter,instance,instance_group,planner,heuristic,variant,config,seed,repetition,timeout_s,memory_limit_mb,outcome,solved,valid,wall_time_s,cost,plan_length,makespan,sum_of_costs,expanded,generated,evaluated,peak_rss_mb,error,note,timestamp_utc,harness_version,harness_sha,python_version,platform,cpu_model,cpu_count,hostname,package_versions,schema_version
ci-weekly,classical,jupyddl,blocksworld/problem,blocksworld,bfs,,,,0,0,15.0,2048,solved,True,True,0.001027321999998776,2,2,,,2,5,0,21.33,,,2026-08-24T05:58:06+00:00,0.1.0,0e445a8b763b,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,blocksworld/problem,blocksworld,gbfs,hff,,,0,0,15.0,2048,solved,True,True,0.0011947659999975713,2,2,,,2,5,5,21.33,,,2026-08-24T05:58:06+00:00,0.1.0,0e445a8b763b,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,blocksworld/problem,blocksworld,astar,lmcut,,,0,0,15.0,2048,solved,True,True,0.0015490689999992924,2,2,,,2,5,5,21.33,,,2026-08-24T05:58:06+00:00,0.1.0,0e445a8b763b,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,blocksworld/problem,blocksworld,astar,hmax,,,0,0,15.0,2048,solved,True,True,0.001193493000002377,2,2,,,2,5,5,21.33,,,2026-08-24T05:58:06+00:00,0.1.0,0e445a8b763b,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,pallet/problem,pallet,bfs,,,,0,0,15.0,2048,solved,True,True,0.0025950449999996295,12,12,,,124,298,0,21.33,,,2026-08-24T05:58:06+00:00,0.1.0,0e445a8b763b,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,pallet/problem,pallet,gbfs,hff,,,0,0,15.0,2048,solved,True,True,0.002433022999994705,12,12,,,12,33,25,21.33,,,2026-08-24T05:58:07+00:00,0.1.0,0e445a8b763b,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,pallet/problem,pallet,astar,lmcut,,,0,0,15.0,2048,solved,True,True,0.040299191999999096,12,12,,,126,302,128,21.33,,,2026-08-24T05:58:07+00:00,0.1.0,0e445a8b763b,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,pallet/problem,pallet,astar,hmax,,,0,0,15.0,2048,solved,True,True,0.00588802700000457,12,12,,,127,304,128,21.33,,,2026-08-24T05:58:07+00:00,0.1.0,0e445a8b763b,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,switch/problem,switch,bfs,,,,0,0,15.0,2048,solved,True,True,0.0036098039999998832,3,3,,,4,7,0,21.33,,,2026-08-24T05:58:07+00:00,0.1.0,0e445a8b763b,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
ci-weekly,classical,jupyddl,switch/problem,switch,gbfs,hff,,,0,0,15.0,2048,solved,True,True,0.003614362000000426,3,3,,,3,6,5,21.33,,,2026-08-24T05:58:07+00:00,0.1.0,0e445a8b763b,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.9.0""}",3
